brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
ISUZU,DMAX,Type Z 1.9L 4x4 AT,2022,Bán tải,Dầu,Tự động,,,,665000000,9649,Nhập khẩu,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/132907042.htm
PEUGEOT,2008,Active 1.2 AT,2022,SUV,Xăng,Tự động,,,,510000000,61000,Nhập khẩu,,Tp Hồ Chí Minh,29-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132674741.htm
VINFAST,VF5 PLUS,,2026,SUV,Điện,Tự động,,5,,440000000,,Trong nước,,Hà Nội,17-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/124488962.htm?ad_delivery=true&event_source=ad_list
MITSUBISHI,PAJERO SPORT,,2019,,Xăng,Tự động,,7,,595000000,86000,Nhập khẩu,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/131878829.htm
FORD,EVEREST,Ambiente 2.0L 4x2 AT,2022,SUV,Dầu,Tự động,,7,,950000000,42500,,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/132901323.htm
FORD,ECOSPORT,Titanium 1.5L AT,2017,,Xăng,Tự động,,,,299000000,50000,,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/133018396.htm
VINFAST,LIMO GREEN,,2026,SUV,Điện,Tự động,,7,,620000000,,Trong nước,,Hà Nội,17-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/125958745.htm?ad_delivery=true&event_source=ad_list
TOYOTA,RUSH,S 1.5 AT,2020,SUV,Xăng,Tự động,,5,,440000000,88000,Nhập khẩu,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/131874134.htm
TOYOTA,FORTUNER,,2015,,Dầu,Số sàn,,,,450000000,50000,,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/131883375.htm
CHEVROLET,AVEO,,2012,,Xăng,Số sàn,,,,87000000,54213,,,Đà Nẵng,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-hoa-vang-da-nang/131465090.htm
FORD,RANGER,Raptor 2.0L 4x4 AT,2018,Bán tải,Xăng,Tự động,,5,,850000000,67000,Nhập khẩu,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132193088.htm
HONDA,CITY,1.5TOP,2020,,Xăng,Tự động,,,,395000000,40000,Trong nước,,Hà Nội,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/132913551.htm
VINFAST,LUX A2.0,A2.0 Tiêu chuẩn,2022,Sedan,Xăng,Tự động,2,5,RWD,500000000,60000,Trong nước,,Hà Nội,16-02-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/127967760.htm
CHEVROLET,CAPTIVA,,2007,,Xăng,Số sàn,,7,,105000000,123,,,Bình Dương,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/133018262.htm
CHEVROLET,CAPTIVA,,2007,,Xăng,Số sàn,,,,116000000,145245,,,Quảng Nam,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-dai-loc-quang-nam/132779189.htm
VOLKSWAGEN,VILORAN,Luxury,2024,Van/Minibus,Xăng,Tự động,,7,,1759000000,52000,Nhập khẩu,,Tp Hồ Chí Minh,05-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132800178.htm
KIA,SONET,Premium 1.5 AT,2025,SUV,Xăng,Tự động,,5,,555000000,,Trong nước,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/133018240.htm
VINFAST,MPV 7,,2026,,Điện,Tự động,,7,,689000000,,Trong nước,,Bình Dương,11-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/132931721.htm
